station_id,year,NO2_ugm3,PM2_5_ugm3,latitude,longitude,station_type,station_area,road_count_500m
FI00208,2019,4.922152,5.297605,60.1853,24.801,B,urban,0.0
FI00208,2020,3.005255,4.846715,60.1853,24.801,B,urban,0.0
FI00208,2021,4.035244,4.546045,60.1853,24.801,B,urban,0.0
FI00208,2022,4.052338,3.73149,60.1853,24.801,B,urban,0.0
FI00349,2019,3.590619,5.479657,60.3925,25.6655,B,rural,0.0
FI00349,2020,2.981234,4.123456,60.3925,25.6655,B,rural,0.0
FI00349,2021,3.125678,4.234567,60.3925,25.6655,B,rural,0.0
FI00349,2022,2.876543,3.987654,60.3925,25.6655,B,rural,0.0
FI00356,2019,18.234567,7.123456,60.1992,24.9603,T,urban,0.0
FI00356,2020,15.876543,6.234567,60.1992,24.9603,T,urban,0.0
FI00356,2021,16.345678,6.456789,60.1992,24.9603,T,urban,0.0
FI00356,2022,14.987654,5.876543,60.1992,24.9603,T,urban,0.0
FI00358,2019,22.456789,8.234567,60.17,24.9417,T,urban,0.0
FI00358,2020,19.234567,7.345678,60.17,24.9417,T,urban,0.0
FI00365,2019,14.345678,6.456789,60.1677,24.9438,B,urban,0.0
FI00365,2020,12.234567,5.56789,60.1677,24.9438,B,urban,0.0
FI00365,2021,13.456789,5.789012,60.1677,24.9438,B,urban,0.0
FI00365,2022,11.987654,5.123456,60.1677,24.9438,B,urban,0.0
FI00370,2019,9.234567,5.345678,60.2167,25.0167,B,suburban,0.0
FI00370,2020,7.876543,4.56789,60.2167,25.0167,B,suburban,0.0
FI00370,2021,8.345678,4.789012,60.2167,25.0167,B,suburban,0.0
FI00370,2022,7.654321,4.234567,60.2167,25.0167,B,suburban,0.0
FI00532,2019,11.234567,6.123456,61.4978,23.761,B,urban,0.0
FI00532,2020,9.876543,5.234567,61.4978,23.761,B,urban,0.0
FI00532,2021,10.345678,5.456789,61.4978,23.761,B,urban,0.0
FI00532,2022,9.654321,4.876543,61.4978,23.761,B,urban,0.0
FI00550,2019,8.234567,5.123456,60.45,22.2667,B,urban,0.0
FI00550,2020,6.987654,4.345678,60.45,22.2667,B,urban,0.0
FI00552,2019,16.234567,6.987654,60.45,22.25,T,urban,0.0
FI00552,2020,13.876543,5.876543,60.45,22.25,T,urban,0.0
FI00564,2019,19.456789,7.456789,60.4667,22.2833,T,urban,0.0
FI00564,2020,16.234567,6.234567,60.4667,22.2833,T,urban,0.0
FI00578,2019,7.234567,4.987654,65.0121,25.4651,B,urban,0.0
FI00578,2020,5.987654,4.123456,65.0121,25.4651,B,urban,0.0
FI00579,2019,13.456789,5.789012,65.0125,25.4667,T,urban,0.0
FI00579,2020,11.234567,4.987654,65.0125,25.4667,T,urban,0.0
FI00652,2019,8.345678,5.234567,62.8924,27.6772,B,urban,0.0
FI00652,2020,6.987654,4.456789,62.8924,27.6772,B,urban,0.0
FI00659,2019,14.234567,6.123456,62.8924,27.68,T,urban,0.0
FI00659,2020,12.123456,5.234567,62.8924,27.68,T,urban,0.0
FI00781,2019,9.123456,5.345678,63.8333,23.1333,B,urban,0.0
FI00781,2020,7.654321,4.456789,63.8333,23.1333,B,urban,0.0
FI00801,2019,4.123456,4.234567,60.4667,22.25,B,urban,0.0
FI00801,2020,3.456789,3.789012,60.4667,22.25,B,urban,0.0
FI00812,2019,24.56789,8.456789,60.1699,24.932,T,urban,0.0
FI00812,2020,21.234567,7.345678,60.1699,24.932,T,urban,0.0
FI00893,2021,3.540368,5.258219,60.2833,25.0333,B,suburban,0.0
FI00893,2022,3.665356,4.567414,60.2833,25.0333,B,suburban,0.0
FI00928,2021,9.648838,6.20995,60.1667,24.9333,T,urban,0.0
FI00928,2022,10.287115,5.654633,60.1667,24.9333,T,urban,0.0
FI00952,2020,12.329529,4.121827,60.1667,24.95,T,urban,0.0
FI00952,2021,11.597377,4.759123,60.1667,24.95,T,urban,0.0
FI00952,2022,12.026159,4.546447,60.1667,24.95,T,urban,0.0
FI00972,2020,6.083289,4.988798,62.6,29.7667,B,urban,0.0
FI00972,2021,7.393706,5.792792,62.6,29.7667,B,urban,0.0
FI00972,2022,7.534673,4.723123,62.6,29.7667,B,urban,0.0
